name,diet,prep_time,cook_time,flavor_profile,course
Kootu,vegetarian,10,15,spicy,main course
Kos kootu,vegetarian,10,20,spicy,main course
Koshambri,vegetarian,10,20,spicy,main course
Kothamali sadam,vegetarian,10,20,spicy,main course
Kuzhakkattai,vegetarian,10,90,spicy,main course
Kuzhambu,vegetarian,5,30,spicy,main course
Masala Dosa,vegetarian,360,90,spicy,snack
Pachadi,vegetarian,10,25,-1,main course
Paniyaram,vegetarian,10,20,-1,main course
Papadum,vegetarian,5,5,spicy,snack
Paravannam,vegetarian,-1,-1,spicy,main course
Payasam,vegetarian,15,30,sweet,dessert
Paruppu sadam,vegetarian,10,20,-1,main course
Pesarattu,vegetarian,120,20,spicy,snack
Poriyal,vegetarian,-1,-1,spicy,main course
Puli sadam,vegetarian,10,20,-1,main course
Rasam,vegetarian,10,35,spicy,main course
Puttu,vegetarian,495,40,-1,main course
Sambar,vegetarian,20,45,spicy,main course
Sandige,vegetarian,120,60,-1,main course
Sevai,vegetarian,120,30,-1,main course
Thayir sadam,vegetarian,10,20,-1,main course
Theeyal,vegetarian,15,20,-1,main course
Uttapam,vegetarian,10,20,spicy,snack
Vada,vegetarian,15,20,spicy,snack
Chicken Varuval,non vegetarian,10,35,spicy,main course
Upma,vegetarian,10,20,spicy,snack
Amti,vegetarian,10,45,spicy,main course
Zunka,vegetarian,10,25,spicy,main course
Kolim Jawla,non vegetarian,-1,-1,spicy,main course
Saath,vegetarian,20,40,spicy,main course
Bajri no rotlo,vegetarian,10,10,spicy,main course
Coconut vadi,vegetarian,20,30,sweet,dessert
Bhakri,vegetarian,20,25,-1,main course
Bombil fry,non vegetarian,-1,-1,spicy,main course
Chakali,vegetarian,10,40,spicy,snack
Chevdo,vegetarian,20,30,spicy,snack
Chorafali,vegetarian,5,15,spicy,snack
Copra paak,vegetarian,20,30,-1,main course
Daal Dhokli,vegetarian,20,30,spicy,main course
Kutchi dabeli,vegetarian,30,10,spicy,snack
Dahi vada,vegetarian,30,30,-1,snack
Dalithoy,vegetarian,5,20,-1,main course
Dhokla,vegetarian,10,20,spicy,snack
Dudhi halwa,vegetarian,15,30,sweet,dessert
Gatta curry,vegetarian,10,20,spicy,main course
Gud papdi,vegetarian,10,20,sweet,dessert
Ghooghra,vegetarian,-1,-1,spicy,snack
Handwo,vegetarian,20,30,spicy,snack
Halvasan,vegetarian,-1,-1,sweet,dessert
Jeera Aloo,vegetarian,10,30,spicy,main course
Kansar,vegetarian,10,40,-1,main course
Keri no ras,vegetarian,10,10,sour,main course
Khakhra,vegetarian,20,40,spicy,snack
Khandvi,vegetarian,20,45,spicy,snack
Kombdi vade,vegetarian,10,25,spicy,snack
Laapsi,vegetarian,10,40,spicy,main course
Koshimbir,vegetarian,10,10,spicy,main course
Methi na Gota,vegetarian,15,30,bitter,main course
Mohanthal,vegetarian,5,45,sweet,dessert
Muthiya,vegetarian,15,30,bitter,snack
Patra,vegetarian,10,40,spicy,snack
Pav Bhaji,vegetarian,20,40,spicy,main course
Puri Bhaji,vegetarian,10,30,spicy,main course
Sabudana Khichadi,vegetarian,70,30,spicy,snack
Sev khamani,vegetarian,20,30,spicy,main course
Sev tameta,vegetarian,20,30,spicy,main course
Namakpara,vegetarian,10,35,spicy,snack
Sukhdi,vegetarian,10,20,sweet,dessert
Surnoli,vegetarian,60,10,spicy,snack
Thalipeeth,vegetarian,25,30,spicy,main course
Undhiyu,vegetarian,25,60,spicy,main course
Veg Kolhapuri,vegetarian,20,30,spicy,main course
Vindaloo,non vegetarian,10,40,spicy,main course
Lilva Kachori,vegetarian,30,6,spicy,snack
Mag Dhokli,vegetarian,-1,-1,spicy,snack
Khichu,vegetarian,5,10,spicy,snack
Thepla,vegetarian,15,30,spicy,snack
Farsi Puri,vegetarian,-1,-1,-1,snack
Khaman,vegetarian,10,20,spicy,snack
Turiya Patra Vatana sabji,vegetarian,35,40,spicy,main course
Churma Ladoo,vegetarian,12,40,sweet,dessert
Cheera Doi,vegetarian,-1,-1,sweet,dessert
Gheela Pitha,vegetarian,10,30,sweet,dessert
Khar,vegetarian,10,20,-1,main course
Kumol Sawul,non vegetarian,-1,-1,spicy,main course
Luchi,vegetarian,20,30,-1,main course
Alu Pitika,non vegetarian,5,20,spicy,main course
Masor tenga,non vegetarian,15,25,spicy,main course
Bengena Pitika,vegetarian,-1,-1,-1,main course
Bilahi Maas,non vegetarian,10,20,-1,main course
Black rice,non vegetarian,-1,-1,-1,main course
Bora Sawul,vegetarian,-1,-1,spicy,main course
Brown Rice,vegetarian,15,25,-1,main course
Chingri malai curry,non vegetarian,10,40,spicy,main course
Goja,vegetarian,20,60,sweet,dessert
Hando Guri,vegetarian,-1,-1,sweet,dessert
Haq Maas,non vegetarian,20,40,spicy,main course
Chingri Bhape,non vegetarian,15,30,-1,main course
Kabiraji,non vegetarian,-1,-1,spicy,main course
Khorisa,vegetarian,-1,-1,spicy,main course
Koldil Chicken,non vegetarian,-1,-1,spicy,main course
Konir Dom,non vegetarian,-1,-1,spicy,main course
Koldil Duck,non vegetarian,-1,-1,spicy,main course
Masor Koni,non vegetarian,-1,-1,spicy,main course
Mishti Chholar Dal,vegetarian,10,30,sweet,main course
Pakhala,vegetarian,-1,-1,-1,main course
Pani Pitha,vegetarian,10,20,-1,main course
Payokh,vegetarian,-1,-1,sweet,dessert
Prawn malai curry,non vegetarian,15,50,spicy,main course
Red Rice,vegetarian,-1,-1,-1,main course
Shukto,vegetarian,10,20,spicy,main course
Til Pitha,vegetarian,5,30,sweet,dessert
Bebinca,vegetarian,20,60,sweet,dessert
Shufta,vegetarian,-1,-1,sweet,dessert
Mawa Bati,vegetarian,20,45,sweet,dessert
Pinaca,vegetarian,-1,-1,sweet,dessert
